shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10109,45.263522,-74.127258,150005,4.801
10109,45.263754,-74.126854,150006,4.842
10109,45.263976,-74.126450,150007,4.882
10109,45.264101,-74.126230,150008,4.904
10109,45.264273,-74.125746,150009,4.947
10109,45.264327,-74.125495,150010,4.967
10109,45.264372,-74.125269,150011,4.986
10109,45.264402,-74.124952,150012,5.011
10109,45.264407,-74.124825,150013,5.021
10109,45.264412,-74.124516,150014,5.045
10109,45.264412,-74.124516,160001,5.045
10109,45.264415,-74.124379,160002,5.056
10109,45.264402,-74.124225,160003,5.068
10109,45.264368,-74.123955,160004,5.090
10109,45.264331,-74.123735,160005,5.107
10109,45.264276,-74.123514,160006,5.126
10109,45.264116,-74.122992,160007,5.170
10109,45.263836,-74.122065,160008,5.250
10109,45.263717,-74.121635,160009,5.286
10109,45.263657,-74.121299,160010,5.313
10109,45.263643,-74.121196,160011,5.321
10109,45.263598,-74.120491,160012,5.377
10109,45.263554,-74.119978,160013,5.417
10109,45.263560,-74.119644,160014,5.444
10109,45.263560,-74.119644,170001,5.444
10109,45.263560,-74.119583,170002,5.448
10109,45.263580,-74.119062,170003,5.489
10109,45.263707,-74.118306,170004,5.550
10109,45.263780,-74.117827,170005,5.589
10109,45.263810,-74.117498,170006,5.615
10109,45.263809,-74.117294,170007,5.631
10109,45.263803,-74.117182,170008,5.640
10109,45.263803,-74.117182,180001,5.640
10109,45.263793,-74.116999,180002,5.654
10109,45.263780,-74.116858,180003,5.665
10109,45.263719,-74.116560,180004,5.690
10109,45.263585,-74.116065,180005,5.731
10109,45.263411,-74.115427,180006,5.785
10109,45.263189,-74.114620,180007,5.853
10109,45.262923,-74.113643,180008,5.935
10109,45.262923,-74.113643,190001,5.935
10109,45.262912,-74.113604,190002,5.939
10109,45.262636,-74.112563,190003,6.026
10109,45.262486,-74.112016,190004,6.072
10109,45.262351,-74.111534,190005,6.113
10109,45.262303,-74.111365,190006,6.127
10109,45.262292,-74.111318,190007,6.131
10109,45.262292,-74.111318,200001,6.131
10109,45.262185,-74.110909,200002,6.165
10109,45.262035,-74.110350,200003,6.212
10109,45.261742,-74.109282,200004,6.302
10109,45.261481,-74.108331,200005,6.382
10109,45.261464,-74.108272,200006,6.387
10109,45.261464,-74.108272,210001,6.387
10109,45.261227,-74.107419,210002,6.459
10109,45.260983,-74.106495,210003,6.537
10109,45.260891,-74.106310,210004,6.554
10109,45.260815,-74.106177,210005,6.568
10109,45.260807,-74.106170,210006,6.569
10109,45.260807,-74.106170,220001,6.569
10109,45.260710,-74.106079,220002,6.582
10109,45.261186,-74.104929,220003,6.687
10109,45.261378,-74.104357,220004,6.736
10109,45.261454,-74.104084,220005,6.760
10109,45.261454,-74.104084,230001,6.760
10109,45.261619,-74.103483,230002,6.810
10109,45.261661,-74.103320,230003,6.824
10109,45.261712,-74.103146,230004,6.839
10109,45.261765,-74.102933,230005,6.856
10109,45.261886,-74.102585,230006,6.887
10109,45.262005,-74.102313,230007,6.912
10109,45.262141,-74.102056,230008,6.937
10109,45.262433,-74.101611,230009,6.985
10109,45.262433,-74.101611,240001,6.985
10109,45.262532,-74.101460,240002,7.001
10109,45.262823,-74.101138,240003,7.042
10109,45.263576,-74.100277,240004,7.150
10109,45.264963,-74.098851,240005,7.340
