shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10202,45.410926,-74.066994,180001,5.345
10202,45.410959,-74.067090,180002,5.354
10202,45.411627,-74.066661,180003,5.435
10202,45.412213,-74.066281,180004,5.507
10202,45.412213,-74.066281,190001,5.507
10202,45.412286,-74.066234,190002,5.516
10202,45.412892,-74.065837,190003,5.590
10202,45.413153,-74.065656,190004,5.622
10202,45.413270,-74.065554,190005,5.638
10202,45.413342,-74.065452,190006,5.649
10202,45.413415,-74.065313,190007,5.663
10202,45.413578,-74.064991,190008,5.694
10202,45.413578,-74.064991,200001,5.694
10202,45.413627,-74.064893,200002,5.703
10202,45.413871,-74.064426,200003,5.749
10202,45.413950,-74.064240,200004,5.766
10202,45.413992,-74.064172,200005,5.773
10202,45.413992,-74.064172,210001,5.773
10202,45.414056,-74.064069,210002,5.784
10202,45.413439,-74.063447,210003,5.868
10202,45.413811,-74.062708,210004,5.939
10202,45.413811,-74.062708,220001,5.939
10202,45.413848,-74.062634,220002,5.946
10202,45.414354,-74.061623,220003,6.043
10202,45.414701,-74.060997,220004,6.105
10202,45.414723,-74.060896,220005,6.114
10202,45.414726,-74.060811,220006,6.120
10202,45.414726,-74.060811,230001,6.120
10202,45.414727,-74.060794,230002,6.122
10202,45.414711,-74.060742,230003,6.126
10202,45.414694,-74.060702,230004,6.130
10202,45.414644,-74.060596,230005,6.140
10202,45.414586,-74.060451,230006,6.153
10202,45.414513,-74.060254,230007,6.170
10202,45.414362,-74.059705,230008,6.216
10202,45.414300,-74.059445,230009,6.238
10202,45.414271,-74.059238,230010,6.254
10202,45.414286,-74.059086,230011,6.266
10202,45.414311,-74.058896,230012,6.281
10202,45.414347,-74.058656,230013,6.301
10202,45.414355,-74.058567,230014,6.308
10202,45.414355,-74.058567,240001,6.308
10202,45.414363,-74.058478,240002,6.314
10202,45.414505,-74.058514,240003,6.331
10202,45.414612,-74.058560,240004,6.343
10202,45.414728,-74.058582,240005,6.356
10202,45.414810,-74.058562,240006,6.365
10202,45.414864,-74.058554,240007,6.371
10202,45.414910,-74.058531,240008,6.377
10202,45.414940,-74.058457,240009,6.383
10202,45.414997,-74.058372,240010,6.393
10202,45.415028,-74.058259,240011,6.402
10202,45.415083,-74.057982,240012,6.425
10202,45.415110,-74.057821,240013,6.438
10202,45.415110,-74.057821,250001,6.438
10202,45.415130,-74.057704,250002,6.447
10202,45.415343,-74.057771,250003,6.471
10202,45.415477,-74.057819,250004,6.487
10202,45.415698,-74.057938,250005,6.513
10202,45.415864,-74.058053,250006,6.534
10202,45.416067,-74.058170,250007,6.558
10202,45.416129,-74.058201,250008,6.565
10202,45.416385,-74.058348,250009,6.596
10202,45.416474,-74.058380,250010,6.606
10202,45.416555,-74.058386,250011,6.615
10202,45.416663,-74.058369,250012,6.627
10202,45.416828,-74.058304,250013,6.646
10202,45.416916,-74.058263,250014,6.657
10202,45.416916,-74.058263,260001,6.657
10202,45.416993,-74.058227,260002,6.666
10202,45.416865,-74.057552,260003,6.720
10202,45.416822,-74.057242,260004,6.745
10202,45.416795,-74.056997,260005,6.764
10202,45.416787,-74.056971,260006,6.767
10202,45.416714,-74.056505,260007,6.804
10202,45.416681,-74.056154,260008,6.832
10202,45.416681,-74.056154,270001,6.832
10202,45.416676,-74.056093,270002,6.837
10202,45.416668,-74.056054,270003,6.840
10202,45.416652,-74.056015,270004,6.843
10202,45.416576,-74.055855,270005,6.858
10202,45.416499,-74.055760,270006,6.870
10202,45.416351,-74.055621,270007,6.889
10202,45.416227,-74.055548,270008,6.904
10202,45.416200,-74.055559,270009,6.908
10202,45.416056,-74.055561,270010,6.924
10202,45.415829,-74.055621,270011,6.949
10202,45.415754,-74.055679,270012,6.959
10202,45.415727,-74.055726,270013,6.963
10202,45.415727,-74.055726,280001,6.963
10202,45.415697,-74.055777,280002,6.969
10202,45.415566,-74.055652,280003,6.986
10202,45.415419,-74.055488,280004,7.007
10202,45.415185,-74.055253,280005,7.039
10202,45.414978,-74.055007,280006,7.069
10202,45.414952,-74.054980,280007,7.072
10202,45.414707,-74.054769,280008,7.104
10202,45.414526,-74.054577,280009,7.130
10202,45.414526,-74.054577,290001,7.130
10202,45.414473,-74.054522,290002,7.137
10202,45.415259,-74.052995,290003,7.285
10202,45.415530,-74.052491,290004,7.335
10202,45.415664,-74.052296,290005,7.356
10202,45.415813,-74.052154,290006,7.376
10202,45.415988,-74.052039,290007,7.397
10202,45.416217,-74.051941,290008,7.424
10202,45.416347,-74.051848,290009,7.440
10202,45.416433,-74.051701,290010,7.455
10202,45.416475,-74.051538,290011,7.469
10202,45.416491,-74.051360,290012,7.483
10202,45.416518,-74.051107,290013,7.503
10202,45.416555,-74.050854,290014,7.523
10202,45.416620,-74.050552,290015,7.548
10202,45.416684,-74.050275,290016,7.570
10202,45.416772,-74.049989,290017,7.595
10202,45.416772,-74.049989,300001,7.595
10202,45.416776,-74.049975,300002,7.596
10202,45.416816,-74.049863,300003,7.606
10202,45.417188,-74.049085,300004,7.679
10202,45.417423,-74.048553,300005,7.729
10202,45.417485,-74.048353,300006,7.746
10202,45.417506,-74.048265,300007,7.753
10202,45.417559,-74.048051,300008,7.771
10202,45.417582,-74.047912,300009,7.782
10202,45.417615,-74.047761,300010,7.794
10202,45.417655,-74.047419,300011,7.822
10202,45.417657,-74.047099,300012,7.847
10202,45.417668,-74.046806,300013,7.870
10202,45.417645,-74.046459,300014,7.897
10202,45.417620,-74.046150,300015,7.921
10202,45.417554,-74.045693,300016,7.958
10202,45.417527,-74.045577,300017,7.967
10202,45.417398,-74.045196,300018,8.000
10202,45.417344,-74.045048,300019,8.014
10202,45.417271,-74.044870,300020,8.030
10202,45.417215,-74.044745,300021,8.041
10202,45.417068,-74.044458,300022,8.069
10202,45.416987,-74.044319,300023,8.083
10202,45.416809,-74.044060,300024,8.111
10202,45.416503,-74.043708,300025,8.155
10202,45.416382,-74.043586,300026,8.172
10202,45.416294,-74.043496,300027,8.184
10202,45.416193,-74.043395,300028,8.198
10202,45.416193,-74.043395,310001,8.198
10202,45.416176,-74.043379,310002,8.200
10202,45.416156,-74.043361,310003,8.202
10202,45.416093,-74.043304,310004,8.211
10202,45.416032,-74.043249,310005,8.219
10202,45.415949,-74.043174,310006,8.230
10202,45.415692,-74.042963,310007,8.263
10202,45.415123,-74.042518,310008,8.335
10202,45.414906,-74.042320,310009,8.364
10202,45.414781,-74.042194,310010,8.381
10202,45.414702,-74.042149,310011,8.390
10202,45.414604,-74.042038,310012,8.404
10202,45.414479,-74.041862,310013,8.424
10202,45.414479,-74.041862,320001,8.424
10202,45.414339,-74.041665,320002,8.445
10202,45.414227,-74.041516,320003,8.463
10202,45.413834,-74.040992,320004,8.523
10202,45.413683,-74.040804,320005,8.545
10202,45.413446,-74.040544,320006,8.578
10202,45.413202,-74.040311,320007,8.611
10202,45.412965,-74.040106,320008,8.642
10202,45.412543,-74.039744,320009,8.697
10202,45.412413,-74.039632,320010,8.713
10202,45.412275,-74.039501,320011,8.732
10202,45.412046,-74.039268,320012,8.763
10202,45.411952,-74.039172,320013,8.776
10202,45.411754,-74.038971,320014,8.803
10202,45.411754,-74.038971,330001,8.803
10202,45.411037,-74.038242,330002,8.901
10202,45.410818,-74.038009,330003,8.931
10202,45.410415,-74.037575,330004,8.988
10202,45.410390,-74.037548,330005,8.991
10202,45.409831,-74.036977,330006,9.068
10202,45.409691,-74.036832,330007,9.087
10202,45.409491,-74.036641,330008,9.114
10202,45.409160,-74.036360,330009,9.157
10202,45.408801,-74.036074,330010,9.203
10202,45.408676,-74.035969,330011,9.219
10202,45.408565,-74.035867,330012,9.233
10202,45.408344,-74.035648,330013,9.263
10202,45.408287,-74.035599,330014,9.271
10202,45.408225,-74.035563,330015,9.278
10202,45.408164,-74.035541,330016,9.285
10202,45.408100,-74.035531,330017,9.292
10202,45.408038,-74.035540,330018,9.299
10202,45.407984,-74.035561,330019,9.305
10202,45.407921,-74.035597,330020,9.313
10202,45.407867,-74.035648,330021,9.320
10202,45.407717,-74.035822,330022,9.342
10202,45.407246,-74.036388,330023,9.410
10202,45.406901,-74.036756,330024,9.458
10202,45.406547,-74.037051,330025,9.504
10202,45.406278,-74.037237,330026,9.537
10202,45.406142,-74.037317,330027,9.553
10202,45.406142,-74.037317,340001,9.553
10202,45.405974,-74.037418,340002,9.574
10202,45.405671,-74.037562,340003,9.609
10202,45.405325,-74.037677,340004,9.649
10202,45.404996,-74.037793,340005,9.687
10202,45.404904,-74.037816,340006,9.697
10202,45.404969,-74.038205,340007,9.728
10202,45.405029,-74.038551,340008,9.756
