route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
90,SO-H19-SO_GTFS-Semaine-03,3474416-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,900020,2
90,SO-H19-SO_GTFS-Semaine-03,3474417-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,900020,4
90,SO-H19-SO_GTFS-Semaine-03,3474418-SO-H19-SO_GTFS-Semaine-03,Direction Châteauguay,1,900023,3
90,SO-H19-SO_GTFS-Semaine-03,3474419-SO-H19-SO_GTFS-Semaine-03,Direction Châteauguay,1,900022,1
1,SO-H19-SO_GTFS-Samedi-01,3539721-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10109,2
1,SO-H19-SO_GTFS-Samedi-01,3539722-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10214,4
1,SO-H19-SO_GTFS-Samedi-01,3539723-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10214,6
1,SO-H19-SO_GTFS-Samedi-01,3539724-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10214,8
1,SO-H19-SO_GTFS-Samedi-01,3539725-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10214,10
1,SO-H19-SO_GTFS-Samedi-01,3539726-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10214,12
1,SO-H19-SO_GTFS-Samedi-01,3539727-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10214,14
1,SO-H19-SO_GTFS-Samedi-01,3539728-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10214,16
1,SO-H19-SO_GTFS-Samedi-01,3539729-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10214,18
1,SO-H19-SO_GTFS-Samedi-01,3539730-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10214,20
1,SO-H19-SO_GTFS-Samedi-01,3539731-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10214,22
1,SO-H19-SO_GTFS-Samedi-01,3539732-SO-H19-SO_GTFS-Samedi-01,Direction Montréal,0,10214,24
1,SO-H19-SO_GTFS-Samedi-01,3539733-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,1
1,SO-H19-SO_GTFS-Samedi-01,3539734-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,3
1,SO-H19-SO_GTFS-Samedi-01,3539735-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,5
1,SO-H19-SO_GTFS-Samedi-01,3539736-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,7
1,SO-H19-SO_GTFS-Samedi-01,3539737-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,9
1,SO-H19-SO_GTFS-Samedi-01,3539738-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,11
1,SO-H19-SO_GTFS-Samedi-01,3539739-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,13
1,SO-H19-SO_GTFS-Samedi-01,3539740-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,15
1,SO-H19-SO_GTFS-Samedi-01,3539741-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,17
1,SO-H19-SO_GTFS-Samedi-01,3539742-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,19
1,SO-H19-SO_GTFS-Samedi-01,3539743-SO-H19-SO_GTFS-Samedi-01,Direction Valleyfield,1,10112,21
